lnBtsId,SiteName,SiteNameCV,營運處,營運中心,基維股,縣市,鄉鎮,operationalState_BTS,nCo_lnBtsId,lnBtsIdLL_Sec,lnBtsIdLL_NameChs,Co-Site,bts_Config,eNBType,actLteNrDualConnectivity,nrBtsId,nrFreqBand,operationalState_nrBts,nrSecId,nrSecPCI,lnSecIdBts,lnSecPCI,lnSecBts_Count,AnchorBand,enDcDMeas_freqBandIndicatorNr,enDcDMeas_b1ThresholdNrRsrp,freqLayListEndcHo,rfSharingEnabled,sharedRfTechnologies,Sys_Module,Sub-Module,RF_Module,Coverage Objective,sw_Version,swRelease,IP address,activeSyncMode,activeTimeSource,selectedSyncInput,actOperatorQCI,QCIop_listId,QCIop_qci,QCIop_lteNrDualConnectSupport,QCIop_prio,QCIop_schedulWeight,RANtype,LAR,LARport,Sub-Module_RF-Module,Total Shaper Information Rate - sirTotal (Mbps),Lat,Lon,Lat_2,Lon_2,Lat_3,Lon_3,Lat_4,Lon_4,Lat_5,Lon_5,Lat_6,Lon_6,Lat_7,Lon_7,Lat_8,Lon_8,Dump_Date,Dump_NRCEL
514924,草屯稻香,南投中興L12草屯儒林,行動中區營運處,南投營運中心,南投基維股,南投縣,草屯鎮,onAir [5],2,s1/2/3_s4/5/6,南投中興L12草屯稻香___南投中興L12草屯儒林,S004404_005505_333333_002200_111111,2+2+5+5+2+4,Flexi,1,5414924,n78,onAir,1_2_3_4_5_6,224_223_222_77_76_75,1_2_3_4_5_6,224_223_222_77_76_75,6,a004404_333333_111111,78_1,-110_-90,1750,0,none  [0],ASIB,3*ABIA,3*FRHG+4*FXEB+4*FXDB,Outdoor,SBTS22R1,SBTS22R1_1.0.3,10.222.8.106,PhaseSync [1],Top[6],TOPP[15],1,1_2_3_4,134_137_140_180,1_1_1_1,30_30_30_30_n,20_15_12_50,C-RAN,NTCH_NAR01_R3M6R,NTCH_NAR01_R2/1/3/6,3*ABIA+3*FRHG+4*FXEB+4*FXDB,10000,23.99905,120.67846,23.98411,120.68731,,,,,,,,,,,,,44778.73249,44778.80398
514925,水里民和,信義地利枝三十RH4,行動中區營運處,南投營運中心,埔里基維股,南投縣,信義鄉,onAir [5],2,s1/2/3_s4,水里民和___信義地利枝三十RH4,S3330_1111,2+2+2+1,Flexi_RRH,1,5414925,n78,onAir,1_2_3_4,388_387_389_188,1_2_3_4,388_387_389_188,4,a333000_111100,1_78,-90_-110,1750,0,none  [0],ASIA,1*ABIA,3*FHEB+1*FHDB+2*FXDB,Outdoor,SBTS22R1,SBTS22R1_1.0.3,10.218.164.34,PhaseSync [1],Top[6],TOPP[15],1,1_2_3_4,134_137_140_180,1_1_1_1,30_30_30_30_n,20_15_12_50,D-RAN,MSER_DRAN,MSER,1*ABIA+3*FHEB+1*FHDB+2*FXDB,2500,23.79421,120.92861,23.791806,120.954816,,,,,,,,,,,,,44778.73249,44778.80398
514926,國姓福龜,國姓福龜,行動中區營運處,南投營運中心,埔里基維股,南投縣,國姓鄉,onAir [5],1,s1/2/3,國姓福龜,S444_050_333_020_111,3+5+3,Flexi_RRH,0,,,,,,1_2_3,379_378_380,3,,,,,1,UTRAN-EUTRA  [1],ASIA,2*ABIA,3*FRHG+1*FHEL+2*FHEB+2*FXDB,Outdoor,FL18SP,FL18SP_5.1.2,10.128.10.74,LoosePhaseAndTimeSync [2],Ntp[5],TRS[5],1,1_2_3_4,134_137_140_180,1_1_1_1,n_n_n_n_n,20_15_12_50,LAR,LAR491,,2*ABIA+3*FRHG+1*FHEL+2*FHEB+2*FXDB,750,24.02165,120.82101,,,,,,,,,,,,,,,44778.73249,
514927,國姓北港溪,國姓北港溪,行動中區營運處,南投營運中心,埔里基維股,南投縣,國姓鄉,onAir [5],1,s1/2/3,國姓北港溪,S004_005_333_002_111,2+2+5,Flexi_RRH,1,5414927,n78,onAir,1_2_3,265_266_264,1_2_3,265_266_264,3,a004_333_111,78_1,-110_-90,1750,0,none  [0],ASIA,2*ABIA,1*FRHG+1*FHEL+2*FHEB+2*FXDB,Outdoor,SBTS22R1,SBTS22R1_1.0.3,10.218.142.226,PhaseSync [1],Top[6],TOPP[15],1,1_2_3_4,134_137_140_180,1_1_1_1,30_30_30_30_n,20_15_12_50,D-RAN,MSER_DRAN,MSER,2*ABIA+1*FRHG+1*FHEL+2*FHEB+2*FXDB,2500,24.05822,120.91458,,,,,,,,,,,,,,,44778.73249,44778.80398
514928,水里車埕,水里車埕,行動中區營運處,南投營運中心,埔里基維股,南投縣,水里鄉,onAir [5],1,s2/3,水里車埕,S033_011,0+2+2,Flexi_RRH,0,,,,,,2_3,448_449,2,,,,,1,UTRAN-EUTRA  [1],FSMF,1*FBBC,2*FHEB+2*FHDB,Outdoor,FL18SP,FL18SP_5.1.2,10.128.13.144,LoosePhaseAndTimeSync [2],Ntp[5],MasterSMOD[6],1,1_2_3_4,134_137_140_180,1_1_1_1,n_n_n_n_n,20_15_12_50,LAR,LAR491,,1*FBBC+2*FHEB+2*FHDB,300,23.84354,120.87023,,,,,,,,,,,,,,,44778.73249,
514929,水里大觀,水里大觀,行動中區營運處,南投營運中心,埔里基維股,南投縣,水里鄉,onAir [5],1,s1/2,水里大觀,S330_110,2+2+0,Flexi,0,,,,,,1_2,87_88,2,,,,,1,UTRAN-EUTRA  [1],FSMF,1*FBBC,2*FHEB+2*FXDB,Outdoor,FL18SP,FL18SP_5.1.2,10.128.10.146,FreqSync [0],Ntp[5],MasterSMOD[6],1,1_2_3_4,134_137_140_180,1_1_1_1,n_n_n_n_n,20_15_12_50,LAR,LAR491,,1*FBBC+2*FHEB+2*FXDB,300,23.85442,120.86948,,,,,,,,,,,,,,,44778.73249,
514930,名間松嶺,名間松嶺,行動中區營運處,南投營運中心,南投基維股,南投縣,名間鄉,onAir [5],1,s1/2/3,名間松嶺,S333,1+1+1,Flexi_RRH,0,,,,,,1_2_3,14_13_12,3,,,,,0,none  [0],FSMF,1*FBBA,1*FXED,Outdoor,SBTS21A,SRAN21A_3.1.3,10.128.11.241,LoosePhaseAndTimeSync [2],Ntp[5],TOPF[14],1,1_2_3_4,134_137_140_180,1_1_1_1,n_n_n_n_n,20_15_12_50,LAR,LAR491,514930L,1*FBBA+1*FXED,300,23.83249,120.63736,,,,,,,,,,,,,,,44778.73249,
514931,魚池銃櫃,魚池銃櫃,行動中區營運處,南投營運中心,埔里基維股,南投縣,魚池鄉,onAir [5],1,s1/2,魚池銃櫃,S330_110,2+2+0,Flexi_RRH,0,,,,,,1_2,452_450,2,,,,,1,UTRAN-EUTRA  [1],FSMF,1*FBBC,2*FHEB+2*FXDB,Outdoor,FL18SP,FL18SP_5.1.2,10.128.12.70,LoosePhaseAndTimeSync [2],Ntp[5],MasterSMOD[6],1,1_2_3_4,134_137_140_180,1_1_1_1,n_n_n_n_n,20_15_12_50,LAR,LAR491,,1*FBBC+2*FHEB+2*FXDB,300,23.82413,120.88662,,,,,,,,,,,,,,,44778.73249,
514932,水里頂崁,水里頂崁,行動中區營運處,南投營運中心,埔里基維股,南投縣,水里鄉,onAir [5],1,s2/3,水里頂崁,S040_050_033_020_011,0+5+2,Flexi_RRH,1,5414932,n78,onAir,2_3,37_38,2_3,37_38,2,a040_033_011,78_1,-110_-90,1750,0,none  [0],ASIB,2*ABIA,1*FRHG+1*FHEL+1*FHEB+2*FXDB,Outdoor,SBTS22R1,SBTS22R1_1.0MP,10.218.143.210,PhaseSync [1],Top[6],TOPP[15],1,1_2_3_4,134_137_140_180,1_1_1_1,30_30_30_30_n,20_15_12_50,D-RAN,MSER_DRAN,MSER,2*ABIA+1*FRHG+1*FHEL+1*FHEB+2*FXDB,2500,23.79542,120.86768,,,,,,,,,,,,,,,44778.73249,44778.80398
514933,魚池頭社,魚池頭社,行動中區營運處,南投營運中心,埔里基維股,南投縣,魚池鄉,onAir [5],2,s1/2/3_s4,魚池頭社___魚池水社隧道RH4,S4440_0500_3333_0220_1111,3+5+4+2,Flexi_RRH,1,5414933,n78+n1,onAir,1_2_3,83_82_81,1_2_3_4,83_82_81_79,4,a444000_333300_111100,1_78,-90_-110,1750,0,none  [0],ASIA,2*ABIA,3*FRHG+2*FHEL+2*FHEB+1*FHDB+2*FXDB,Outdoor,SBTS22R1,SBTS22R1_1.0.3,10.218.140.66,PhaseSync [1],Top[6],TOPP[15],1,1_2_3_4,134_137_140_180,1_1_1_1,n_n_n_n_n,20_15_12_50,D-RAN,MSER_DRAN,MSER,2*ABIA+3*FRHG+2*FHEL+2*FHEB+1*FHDB+2*FXDB,2500,23.83492,120.89539,23.84472,120.90155,,,,,,,,,,,,,44778.73249,44778.80398
